Date,Open,High,Low,Close,Volume,Adj Close
3/30/2017,41.389999,41.830002,41.330002,41.759998,14563000,41.759998
3/29/2017,41.540001,41.75,41.400002,41.450001,13977800,41.450001
3/28/2017,41.41,41.610001,41.259998,41.560001,15525500,41.560001
3/27/2017,41.59,41.75,41.380001,41.490002,13178700,41.490002
3/24/2017,41.759998,41.889999,41.540001,41.68,14022700,41.68
3/23/2017,41.630001,41.91,41.41,41.650002,13935200,41.650002
3/22/2017,42.099998,42.119999,41.459999,41.650002,18504500,41.650002
3/21/2017,42.450001,42.509998,42,42.080002,20171900,42.080002
3/20/2017,42.610001,42.700001,42.32,42.419998,11277000,42.419998
3/17/2017,42.59,42.650002,42.369999,42.610001,24259800,42.610001
3/16/2017,42.599998,42.66,42.34,42.439999,14362900,42.439999
3/15/2017,42.139999,42.639999,42.09,42.59,16013700,42.59
3/14/2017,42.380001,42.439999,42.049999,42.09,10045400,42.09
3/13/2017,42.220001,42.419998,42.18,42.369999,14270900,42.369999
3/10/2017,42.029999,42.43,42.02,42.349998,19544900,42.349998
3/9/2017,41.860001,42.130001,41.75,41.939999,17619700,41.939999
3/8/2017,41.880001,41.880001,41.68,41.77,17809400,41.77
3/7/2017,41.900002,41.990002,41.720001,41.880001,15933100,41.880001
3/6/2017,41.830002,42,41.709999,41.959999,14078100,41.959999
3/3/2017,42.049999,42.060001,41.759998,42.009998,17179400,42.009998
3/2/2017,41.900002,42.099998,41.84,42.07,13129400,42.07
3/1/2017,41.779999,42.18,41.560001,42.040001,22429300,42.040001
2/28/2017,41.73,41.869999,41.639999,41.790001,19189700,41.790001
2/27/2017,42.299999,42.299999,41.73,41.82,17238800,41.82
2/24/2017,42.110001,42.360001,42.040001,42.360001,16897500,42.360001
2/23/2017,41.689999,41.990002,41.540001,41.950001,19166500,41.950001
2/22/2017,41.68,41.779999,41.450001,41.59,15635900,41.59
2/21/2017,41.369999,41.75,41.32,41.73,16559400,41.73
2/17/2017,41.169998,41.540001,40.790001,41.48,24114800,41.48
2/16/2017,41.119999,41.360001,41.029999,41.25,16372000,41.25
2/15/2017,40.66,41.139999,40.560001,41.119999,22959900,41.119999
2/14/2017,40.470001,40.779999,40.41,40.75,19690000,40.75
2/13/2017,40.82,41.139999,40.490002,40.650002,34361100,40.650002
2/10/2017,41.25,41.43,41.200001,41.380001,12135600,41.380001
2/9/2017,41.209999,41.43,41.130001,41.310001,11362400,41.310001
2/8/2017,41.169998,41.32,41.07,41.209999,15688300,41.209999
2/7/2017,41.080002,41.169998,40.82,41.119999,17312100,41.119999
2/6/2017,41.27,41.27,40.98,41.060001,11374900,41.060001
2/3/2017,41.48,41.52,41.200001,41.25,19151000,41.25
2/2/2017,42.02,42.07,40.950001,41.18,29154300,41.18
2/1/2017,42.279999,42.459999,41.860001,42.060001,32082500,42.060001
1/31/2017,41.68,42.189999,41.580002,42.16,25405400,42.16
1/30/2017,41.939999,42.130001,41.66,41.82,15876100,41.82
1/27/2017,41.98,42.299999,41.75,42.009998,19018300,42.009998
1/26/2017,41.169998,41.849998,40.959999,41.77,28137300,41.77
1/25/2017,41.330002,41.470001,40.889999,41.389999,21460500,41.389999
1/24/2017,41.400002,41.740002,41.049999,41.360001,28701000,41.360001
1/23/2017,41.459999,42.07,41.389999,42,25211300,42
1/20/2017,41.330002,41.869999,41.290001,41.450001,25164900,41.450001
1/19/2017,40.889999,41.02,40.709999,41,16693300,41
1/18/2017,41.150002,41.240002,40.779999,40.799999,19476500,40.799999
1/17/2017,41,41.139999,40.759998,41.110001,22535800,41.110001
1/13/2017,40.919998,41.18,40.790001,40.959999,13932200,40.959999
1/12/2017,40.57,41.110001,40.5,41.009998,19900300,41.009998
1/11/2017,40.380001,40.700001,40.279999,40.610001,24536400,40.610001
